trial_type,trial_index,time_elapsed,internal_node_id,subject_id,subject,condition,condition_vector,condition_name,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-test,20,84494,0.0-20.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,94725.50667,,,"[""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/tiger.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,pretest,1,stims/audio/wheres_antelope.wav,6,stims/images/manatee.png,,,,,,,,,,,,
coact-test-prompt,21,85970,0.0-21.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1475,,,"[""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]",pangolin,stims/images/pangolin.png,unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,22,91723,0.0-22.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,101949.544,,,"[""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]",pangolin,stims/images/pangolin.png,unfamiliar,pretest,1,stims/audio/wheres_pangolin.wav,5,stims/images/antelope.png,,,,,,,,,,,,
html-button-response,23,108740,0.0-23.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,17017,,0,,,,,,,,,,,,,,,,,,,,,
coact-grid,24,114918,0.0-24.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,4868,,,"[""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/frog.png""]",,,,,familiar,,,,"[6,0]","[""stims/images/wolf.png"",""stims/images/butterfly.png""]","[""wolf"",""butterfly""]","[""stims/audio/its_wolf.wav"",""stims/audio/its_butterfly.wav""]",right,"[""stims/images/butterfly.png"",""stims/images/wolf.png""]","[""stims/audio/its_butterfly.wav"",""stims/audio/its_wolf.wav""]","[""butterfly"",""wolf""]",0,,,
coact-grid-choice,25,117200,0.0-25.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2279,,,"[""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/frog.png""]",,,,,familiar,,,stims/images/wolf.png,,,,,right,"[""stims/images/butterfly.png"",""stims/images/wolf.png""]","[""stims/audio/its_butterfly.wav"",""stims/audio/its_wolf.wav""]","[""butterfly"",""wolf""]",0,0,stims/audio/its_butterfly.wav,"[""stims/images/wolf.png"",""stims/images/butterfly.png""]"
coact-grid-choice-audio,26,120212,0.0-26.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3003,,,,,,,,familiar,,,stims/images/wolf.png,,,,,right,,,,0,,stims/audio/its_butterfly.wav,
coact-grid,27,123889,0.0-27.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2369,,,"[""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png""]",,,,,1,,,,"[5,1]","[""stims/images/lobster.png"",""stims/images/tarsier.png""]","[""lobster"",""tarsier""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_tarsier.wav""]",right,"[""stims/images/tarsier.png"",""stims/images/lobster.png""]","[""stims/audio/its_tarsier.wav"",""stims/audio/its_lobster.wav""]","[""tarsier"",""lobster""]",0,,,
coact-grid-choice,28,126538,0.0-28.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2649,,,"[""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png""]",,,,,1,,,stims/images/lobster.png,,,,,right,"[""stims/images/tarsier.png"",""stims/images/lobster.png""]","[""stims/audio/its_tarsier.wav"",""stims/audio/its_lobster.wav""]","[""tarsier"",""lobster""]",0,0,stims/audio/its_tarsier.wav,"[""stims/images/lobster.png"",""stims/images/tarsier.png""]"
coact-grid-choice-audio,29,129547,0.0-29.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/lobster.png,,,,,right,,,,0,,stims/audio/its_tarsier.wav,
