StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,study,subject_id,age,gender,l1,l1_percent,languages_additional,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_7_TEXT,dev_concerns,dev_concerns_details,education,education_8_TEXT,education_10_TEXT,country_origin,income
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please enter the study name (e.g., CoAct):",Please enter the participant ID:,How old is your child? (in years),What is your child's gender?,What is your child's first/ primary language(s)?,What percent of the time does your child hear their first / primary language(s)?,Please list any other language(s) your child hears on a regular basis.,"What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - White","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Black or African American","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Hispanic or Latino","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - American Indian or Alaska Native","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Asian","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Native Hawaiian or Other Pacific Islander","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Some other race or origin (please specify)","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Prefer not to answer","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Some other race or origin (please specify) - Text",Do you have any concerns about your child’s development?,"If you do have any concerns about your child's development, please explain:",What is your current level of education? - Selected Choice,What is your current level of education? - Other professional degree - please specify: - Text,What is your current level of education? - Other - please specify - Text,"In what country were you born? If your child has another parent or guardian, please also indicate where that person was born.",Which of the following best describes your total household income last year?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9"",""choiceId"":""1""}","{""ImportId"":""QID9"",""choiceId"":""2""}","{""ImportId"":""QID9"",""choiceId"":""3""}","{""ImportId"":""QID9"",""choiceId"":""4""}","{""ImportId"":""QID9"",""choiceId"":""5""}","{""ImportId"":""QID9"",""choiceId"":""6""}","{""ImportId"":""QID9"",""choiceId"":""7""}","{""ImportId"":""QID9"",""choiceId"":""8""}","{""ImportId"":""QID9_7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_8_TEXT""}","{""ImportId"":""QID12_10_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}"
2022-10-14 07:44:53,2022-10-14 15:27:56,IP Address,*******,100,27782,True,2022-10-14 15:27:57,R_3CWWvruUjWfND8d,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p024,4.5,Female,English,100,N/A,White,,,,,,,,,No,,Master's degree,,,USA (me) France- but on a US base (her father),"$100,000 to $149,999"
2022-10-19 14:06:30,2022-10-19 14:09:10,IP Address,*******,100,160,True,2022-10-19 14:09:11,R_10oVYXB0YXKuWBk,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p025,4,"Male ",English,99%,,White,,,,,,,,,No,,Some college/ university,,,"USA ","$50,000 to $99,999"
2022-10-20 07:58:07,2022-10-20 07:59:37,IP Address,*******,100,89,True,2022-10-20 07:59:37,R_3j7E9Mm7PJM5XLL,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p026,4.5,Female,"English ",100,Hebrew,White,,,,,,,,,No,,Master's degree,,,USA (both parents),"$100,000 to $149,999"
2022-10-25 08:15:29,2022-10-25 08:16:44,IP Address,*******,100,75,True,2022-10-25 08:16:45,R_3RqDijFqkmD9Bfp,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p027,4,"Male ",English,100,None,White,,,,Asian,,,,,No,,Bachelor's degree,,,"USA, USA","$150,000 to $199,999"
2022-10-25 14:37:32,2022-10-25 14:38:47,IP Address,*******,100,74,True,2022-10-25 14:38:47,R_1lujV9wm56R62WA,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p028,"3 years ",Male,English,100,None,White,,,,,,,,,No,,Bachelor's degree,,,"USA ","$200,000 or more"
2022-10-26 14:35:59,2022-10-26 14:37:28,IP Address,*******,100,89,True,2022-10-26 14:37:29,R_vvh8s8ybImnsOPf,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,p029,5,Male,English,100%,,White,,,,,,,,,No,,Bachelor's degree,,,United States,"$100,000 to $149,999"
2022-10-28 08:52:45,2022-10-28 08:53:57,IP Address,*******,100,71,True,2022-10-28 08:53:57,R_1JILnDlK4zhe0IX,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p030,4,Male,English,100,None,White,,,,,,,,,No,,Master's degree,,,Both USA,"$200,000 or more"
2022-10-28 15:03:14,2022-10-28 15:04:33,IP Address,*******,100,78,True,2022-10-28 15:04:33,R_22lf8trh1MNtYFz,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p031,5,"Female ",English,100,Spanish,White,Black or African American,,,,,,,,No,,Master's degree,,,"USA ","$200,000 or more"
2022-11-01 12:27:35,2022-11-01 12:29:27,IP Address,*******,100,111,True,2022-11-01 12:29:27,R_3EQ3BZ2upQKWo6s,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,p032,4,Female,English,99%,"Occasionally Spanish - my husband speaks it, but rarely at home. ",White,,,,,,,,,No,,Bachelor's degree,,,"USA, USA (dad)","$100,000 to $149,999"
2022-11-02 14:19:00,2022-11-02 14:20:29,IP Address,*******,100,89,True,2022-11-02 14:20:29,R_2ygqYOpapuFMv66,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p033,4,Female,English,100%,None,White,,,,,,,,,No,,Bachelor's degree,,,USA for both parents,"$150,000 to $199,999"
2022-11-03 14:31:07,2022-11-03 14:31:53,IP Address,*******,100,46,True,2022-11-03 14:31:54,R_1NqAI4L82WXDHi0,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p034,3,Male,English,100,,White,,,,,,,,,No,,Master's degree,,,United States,"$150,000 to $199,999"
2022-11-04 09:25:06,2022-11-04 09:26:48,IP Address,*******,100,101,True,2022-11-04 09:26:49,R_1FFfnt09bWW7ZDY,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p035,4,Female,English,100,Japanese,White,,,,Asian,,,,,No,,Other - please specify,,Preschool,Japan.  Dad was born in US,"$150,000 to $199,999"
2022-11-09 08:59:30,2022-11-09 09:02:01,IP Address,*******,100,150,True,2022-11-09 09:02:01,R_3gMlwUPSdYwsGCs,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p036,5,Female,"English ",100,N/A,White,,,,,,,,,No,,Other - please specify,,Kindergarten- homeschool,"USA for all ","$100,000 to $149,999"
2022-11-09 12:46:22,2022-11-09 12:48:13,IP Address,*******,100,111,True,2022-11-09 12:48:13,R_3psDpqUNxNCru5r,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,P037,4,Male,English,100%,None,White,,,,,,,,,No,,Master's degree,,,US,"$100,000 to $149,999"
2022-11-10 08:37:23,2022-11-10 08:38:33,IP Address,*******,100,69,True,2022-11-10 08:38:34,R_2tok7HDKT2Cds69,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,P038,3,"Female ","English ",90,Spanish,White,,Hispanic or Latino,,Asian,,,,,No,,Master's degree,,,US for both,"$150,000 to $199,999"
2022-11-10 12:49:21,2022-11-10 12:50:39,IP Address,*******,100,77,True,2022-11-10 12:50:40,R_didEFswybmmaAoh,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,P039,4,Male,English,100,,White,,,,,,,,,No,,Master's degree,,,USA,"$200,000 or more"
2022-11-10 14:29:58,2022-11-10 14:34:15,IP Address,*******,100,256,True,2022-11-10 14:34:15,R_3meIePsm60pLqPr,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p040,3,Male,English,70%,Portuguese,White,,Hispanic or Latino,,,,,,,No,,Master's degree,,,"Parent1-Brazil, Parent2-USA","$150,000 to $199,999"
2022-11-11 08:56:16,2022-11-11 09:00:10,IP Address,*******,100,233,True,2022-11-11 09:00:10,R_PBVcEZSkR0PNq93,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p041,5,Male,English,100%,"Some Hebrew words from prayers learned at Sunday school at preschool (at synagogue). ",White,,,,,,,,,No,,Master's degree,,,USA,"$150,000 to $199,999"
2022-11-11 09:50:17,2022-11-11 09:51:55,IP Address,*******,100,97,True,2022-11-11 09:51:56,R_3n2XH2a8wpwyhhG,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,p042,5,Boy,English,100%,None,White,,,,,,,,,No,,Master's degree,,,"USA ",Prefer not to answer
2022-11-11 12:30:49,2022-11-11 12:33:16,IP Address,*******,100,146,True,2022-11-11 12:33:16,R_331ocWiwULmqD6N,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,p043,5,Female,English,100%,Spanish in school,White,,,,,,,,,No,,Elementary/ primary school,,,United States of America,"$50,000 to $99,999"
2022-11-15 08:31:58,2022-11-15 08:33:09,IP Address,*******,100,71,True,2022-11-15 08:33:10,R_3MaGQdsETc4pr27,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p044,4,Boy,English,100,None,White,,,,,,,,,No,,Master's degree,,,"USA ","$25,000 to $49,999"
2022-11-17 12:45:59,2022-11-17 12:46:52,IP Address,*******,100,52,True,2022-11-17 12:46:52,R_SSE1x6gImjsJxiF,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,p046,5,F,"English ",100,,White,,,,,,,,,No,,Master's degree,,,Usa,"$100,000 to $149,999"
2022-11-17 15:31:26,2022-11-17 15:33:31,IP Address,*******,100,124,True,2022-11-17 15:33:31,R_PU2e5tCzlbAQskV,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p047,5,Male,English,100,A little Spanish in school,White,,,,,,,,,No,,Other - please specify,,Kindergarten at day care,US,"$200,000 or more"
2022-11-17 16:05:31,2022-11-17 16:07:29,IP Address,*******,100,117,True,2022-11-17 16:07:29,R_3MzFNaZBu2KEjS0,*******,*******,*******,*******,*******,*******,anonymous,EN,"CoAct, Participant",p045,3,Male,English,100,None,White,,,,,,,,,No,,Other - please specify,,Nursery school,USA,"$200,000 or more"
2022-11-18 15:58:51,2022-11-18 16:00:52,IP Address,*******,100,121,True,2022-11-18 16:00:53,R_11XV0hqP8JCfR02,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p049,3,Female,English,All the time,Hindi,,,,,,,Some other race or origin (please specify),,Indian\ carribean,No,,Master's degree,,,India / usa,"$50,000 to $99,999"
2022-11-28 14:27:21,2022-11-28 14:29:55,IP Address,*******,100,154,True,2022-11-28 14:29:56,R_5vT4buIYXKpIhFv,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p050,3.5,Male,English,100,Spanish,White,,,,,,,,,No,,Bachelor's degree,,,USA,"$50,000 to $99,999"
2022-11-29 07:52:40,2022-11-29 07:54:00,IP Address,*******,100,79,True,2022-11-29 07:54:00,R_3MmmbSWjxCHJdPr,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p051,4,F,English,100,None,White,,,,,,,,,No,,Other professional degree - please specify:,JD,,US/US,"$200,000 or more"
2022-11-30 14:21:54,2022-11-30 14:23:46,IP Address,*******,100,111,True,2022-11-30 14:23:47,R_3n1t22O4oFDOcuV,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p052,4,Male,English,100%,English,White,,,,,,,,,Yes,"Archer had a speech delay, and we continue to be concerned about his school readiness.",Master's degree,,,Both parents born in the United States.,"$200,000 or more"
2022-11-30 15:32:11,2022-11-30 15:35:14,IP Address,*******,100,183,True,2022-11-30 15:35:15,R_1pSZdq4ROGpelgn,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p053,5.5,Female,English,Most of the time,"Spanish in immersion at school ",White,,,,,,,,,No,,Doctoral degree,,,United states,"$200,000 or more"
2022-12-01 10:17:47,2022-12-01 11:29:20,IP Address,*******,100,4292,True,2022-12-01 11:29:20,R_1FtsYnl3Yar6Upi,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p054,4,Male,English,100 percent,None,White,,,,,,,,,No,"Not a concern but he is tongue tied which impacts speech sometimes ",Bachelor's degree,,,Both American,"$200,000 or more"
2022-12-02 09:13:34,2022-12-02 09:15:01,IP Address,*******,100,86,True,2022-12-02 09:15:01,R_cVlRTLh4vikaf7z,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p055,3,Female,English,100,None,White,,,,,,,,,No,,Some college/ university,,,USA,"$50,000 to $99,999"
2022-12-05 15:27:08,2022-12-05 15:30:34,IP Address,*******,100,206,True,2022-12-05 15:30:34,R_9vHi4q5CkDJxz0d,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p056,4,Male,"English ",99%,"Gujarati ",,,,,Asian,,,,,No,,Bachelor's degree,,,"India, wife born in USA","$100,000 to $149,999"
2022-12-06 08:16:54,2022-12-06 08:17:45,IP Address,*******,100,50,True,2022-12-06 08:17:46,R_2qz0BUhdWCENxas,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p057,4,Female,English,100,0,White,,,,,,,,,No,,Master's degree,,,United States,Prefer not to answer
2022-12-09 15:11:59,2022-12-09 15:14:17,IP Address,*******,100,137,True,2022-12-09 15:14:17,R_pzO9NEjR5OE46iJ,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p058,5,Female,English,100,None,White,,,,Asian,,,,,No,,Elementary/ primary school,,,Both parents born in US,"$100,000 to $149,999"
2022-12-16 13:38:02,2022-12-16 13:40:01,IP Address,*******,100,118,True,2022-12-16 13:40:01,R_1Hi94yy1JiaITBF,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p059,4,M,English,100,Sometimes mandarin,White,,,,Asian,,,,,No,,Bachelor's degree,,,"China. Dad was born in US. ","$150,000 to $199,999"
2023-02-23 12:29:23,2023-02-23 12:34:03,IP Address,*******,100,279,True,2023-02-23 12:34:04,R_e8WrAKpaJuZj6zT,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p060,5,Male,English,All of the time,Spanish,White,,,,,,,,,No,,Bachelor's degree,,,United States,"$150,000 to $199,999"
2023-02-28 14:52:57,2023-02-28 14:54:17,IP Address,*******,100,80,True,2023-02-28 14:54:18,R_2rPjXU5DdXda1rV,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p061,3,M,"English ",100,,White,,,,,,,,,No,,Master's degree,,,USA/USA,"$100,000 to $149,999"
2023-03-02 08:06:25,2023-03-02 08:08:02,IP Address,*******,100,97,True,2023-03-02 08:08:02,R_0IFyymFNKIdTDX3,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,062,4,Male,English,100%,None,White,,,,,,,,,No,,Master's degree,,,USA,"$150,000 to $199,999"
2023-03-03 08:59:24,2023-03-03 09:02:38,IP Address,*******,100,194,True,2023-03-03 09:02:38,R_2118jOkDe5OhIdQ,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p063,3.5,Female,English,70,Polish,White,,,,,,,,,No,N/A,Other professional degree - please specify:,Associates degree,,"I was born in Poland my child’s father was born in America ","$200,000 or more"
